Long_Name,Population,Primary_Category,Address,Zip,School_Latitude,School_Longitude,Attainment_Reading_Pct_ES,Attainment_Math_Pct_ES,School_Survey_Safety,Suspensions_Per_100_Students_Pct,Misconducts_To_Suspensions_Pct,Student_Attendance_Pct,Teacher_Attendance_Pct,Graduation_School_Pct,College_Enrollment_School_Pct,Chronic_Truancy_Pct,SAT_Grade_11_Score_School_Avg
Ira F Aldridge Elementary School,186,ES,630 E 131ST ST,60827,41.657405,-87.606474,33,33,WEAK,8.9,23.1,93.5,93,,,60.2,
William E B Dubois Elementary School,213,ES,330 E 133RD ST,60827,41.653733,-87.61432,23,8,WEAK,4.7,5.4,93.9,94.2,,,18.5,
George Washington Carver Primary School,413,ES,901 E 133RD PL,60827,41.653702,-87.599516,17,8,VERY WEAK,20.1,23.5,91.2,94.6,,,69.7,
Harriet E Sayre Elementary Language Academy,439,ES,1850 N NEWLAND AVE,60707,41.914151,-87.798721,57,42,NEUTRAL,2.2,40,94.2,95.5,,,21.9,
George B Swift Elementary Specialty School,682,ES,5900 N WINTHROP AVE,60660,41.989139,-87.658296,58,59,WEAK,0.3,12.5,95.6,94.6,,,13.1,
Stephen K Hayt Elementary School,954,ES,1518 W GRANVILLE AVE,60660,41.994541,-87.668504,79,74,WEAK,2.1,18.6,94.7,96.1,,,14.7,
Helen Peirce International Studies ES,1048,ES,1423 W BRYN MAWR AVE,60660,41.983456,-87.66585,82,70,NEUTRAL,1.1,10.6,95.6,95.9,,,20.3,
Nicholas Senn High School,1420,HS,5900 N GLENWOOD AVE,60660,41.989029,-87.667136,,,WEAK,11.2,20.4,88.2,95.7,78.3,71.6,39.3,964
Hannah G Solomon Elementary School,362,ES,6206 N HAMLIN AVE,60659,41.993942,-87.724043,94,94,NEUTRAL,0,0,94.9,94.5,,,22.2,
DeWitt Clinton Elementary School,1152,ES,6110 N FAIRFIELD AVE,60659,41.992541,-87.69836,82,91,STRONG,1.4,33.3,95,95.2,,,9.8,
Minnie Mars Jamieson Elementary School,883,ES,5650 N MOZART ST,60659,41.984641,-87.700529,88,90,NEUTRAL,0.2,3,95.5,96.1,,,13.8,
Stephen T Mather High School,1490,HS,5835 N LINCOLN AVE,60659,41.987589,-87.702496,,,WEAK,8.6,26.4,90.3,95.1,76.2,65.2,63.8,959
Alexander Hamilton Elementary School,509,ES,1650 W CORNELIA AVE,60657,41.94522,-87.670865,96,93,VERY STRONG,1.3,17.1,95.7,95.2,,,10.8,
Louis A Agassiz Elementary School,500,ES,2851 N SEMINARY AVE,60657,41.934126,-87.656229,90,78,VERY STRONG,4.4,37.9,94.8,96.2,,,7.3,
Augustus H Burley Elementary School,552,ES,1630 W BARRY AVE,60657,41.937937,-87.669853,96,93,STRONG,1,50,96.1,97.4,,,5.8,
Louis Nettelhorst Elementary School,757,ES,3252 N BROADWAY ST,60657,41.941637,-87.644561,88,75,NEUTRAL,1.2,18.9,95,95.3,,,19.9,
Friedrich L. Jahn Elementary of the Fine Arts,318,ES,3149 N WOLCOTT AVE,60657,41.939247,-87.67581,48,31,NEUTRAL,1.2,11.8,94.2,94,,,18,
Everett McKinley Dirksen Elementary School,936,ES,8601 W FOSTER AVE,60656,41.973715,-87.841041,85,86,WEAK,0.1,4.2,95.4,93.8,,,17.3,
