Zip,State,City,CountyName,Rent
60629,IL,Chicago,Cook County,1155.5833333333333
60618,IL,Chicago,Cook County,1950.5967570441255
60639,IL,Chicago,Cook County,1454.9404761904761
60647,IL,Chicago,Cook County,2039.988027324144
60632,IL,Chicago,Cook County,1423.1944444444443
60617,IL,Chicago,Cook County,1274.8833333333334
60608,IL,Chicago,Cook County,1643.7575757575758
60625,IL,Chicago,Cook County,1658.390873015873
60623,IL,Chicago,Cook County,1463.7301587301588
60634,IL,Chicago,Cook County,1827.9166666666667
60657,IL,Chicago,Cook County,2023.657881334352
60614,IL,Chicago,Cook County,2439.748221343874
60620,IL,Chicago,Cook County,1209.9375
60641,IL,Chicago,Cook County,1516.7261904761906
60640,IL,Chicago,Cook County,1719.8560846560847
60628,IL,Chicago,Cook County,1626.3666666666666
60609,IL,Chicago,Cook County,1387.5
60651,IL,Chicago,Cook County,1604.8333333333333
60619,IL,Chicago,Cook County,1260.4893162393162
60630,IL,Chicago,Cook County,1779.648148148148
60622,IL,Chicago,Cook County,2313.0768751945225
60626,IL,Chicago,Cook County,1566.5617647058823
60613,IL,Chicago,Cook County,1937.6937229437228
60649,IL,Chicago,Cook County,1276.3361713106297
60616,IL,Chicago,Cook County,2064.3115384615385
60643,IL,Chicago,Cook County,1903.611111111111
60645,IL,Chicago,Cook County,1559.047619047619
60644,IL,Chicago,Cook County,1120.5787037037037
60637,IL,Chicago,Cook County,1585.742202729045
60659,IL,Chicago,Cook County,1626.9444444444443
60660,IL,Chicago,Cook County,1577.9066666666668
60610,IL,Chicago,Cook County,2513.3255917571705
60615,IL,Chicago,Cook County,1830.2405696106653
60624,IL,Chicago,Cook County,1412.2222222222224
60611,IL,Chicago,Cook County,2463.609668109668
60653,IL,Chicago,Cook County,1690.3333333333333
60612,IL,Chicago,Cook County,2056.6405723905723
60631,IL,Chicago,Cook County,1761.3333333333333
60636,IL,Chicago,Cook County,1303.8333333333333
60607,IL,Chicago,Cook County,2653.3093516714202
60655,IL,Chicago,Cook County,1358.3333333333333
60605,IL,Chicago,Cook County,2392.5097424254086
60621,IL,Chicago,Cook County,1347.222222222222
60642,IL,Chicago,Cook County,2429.7272727272725
60656,IL,Chicago,Cook County,1545
60654,IL,Chicago,Cook County,2740.9823188405803
60601,IL,Chicago,Cook County,2628.9662073278555
60661,IL,Chicago,Cook County,2224.203903903904
60606,IL,Chicago,Cook County,2481.506089
60602,IL,Chicago,Cook County,2429.166666666667
60603,IL,Chicago,Cook County,3085
